# current_asset_usage.txt - 目前圖片資源使用對照表

## 貨幣類 (Currency)
使用位置 | 目前使用的圖片路徑 | 用途說明
--- | --- | ---
scripts/inventory/item_database.gd:112 | res://assets/icons/kyrise/coin_03b.png | 金幣 (Gold Coin)
scripts/inventory/item_database.gd:120 | res://assets/icons/kyrise/coin_02a.png | 銀幣 (Silver Coin)
scripts/inventory/item_database.gd:128 | res://assets/icons/kyrise/coin_01a.png | 銅幣 (Copper Coin)

## 裝備類 (Equipment)
使用位置 | 目前使用的圖片路徑 | 用途說明
--- | --- | ---
scripts/inventory/item_database.gd:141 | res://assets/icons/kyrise/sword_01a.png | 鐵劍 (Iron Sword)
scripts/inventory/item_database.gd:154 | res://assets/icons/kyrise/shield_01a.png | 木盾 (Wooden Shield)
scripts/inventory/item_database.gd:180 | res://assets/icons/kyrise/helmet_01a.png | 皮帽 (Leather Cap)
scripts/inventory/item_database.gd:193 | res://assets/icons/kyrise/armor_01a.png | 布衣 (Cloth Armor)
scripts/inventory/item_database.gd:206 | res://assets/icons/kyrise/sword_02a.png | 鋼劍 (Steel Sword)
scripts/inventory/item_database.gd:219 | res://assets/icons/kyrise/sword_01b.png | 鏽劍 (Rusty Sword)
scripts/inventory/item_database.gd:232 | res://assets/icons/kyrise/sword_03a.png | 長劍 (Longsword)
scripts/inventory/item_database.gd:245 | res://assets/icons/kyrise/staff_01a.png | 木杖 (Wooden Staff)
scripts/inventory/item_database.gd:258 | res://assets/icons/kyrise/staff_02ab.png | 魔法杖 (Magic Staff)
scripts/inventory/item_database.gd:271 | res://assets/icons/kyrise/bow_01a.png | 短弓 (Short Bow)
scripts/inventory/item_database.gd:284 | res://assets/icons/kyrise/bow_02a.png | 長弓 (Long Bow)
scripts/inventory/item_database.gd:297 | res://assets/icons/kyrise/shield_02a.png | 鋼盾 (Steel Shield)
scripts/inventory/item_database.gd:310 | res://assets/icons/kyrise/shield_03a.png | 塔盾 (Tower Shield)
scripts/inventory/item_database.gd:323 | res://assets/icons/kyrise/helmet_02a.png | 鐵盔 (Iron Helmet)
scripts/inventory/item_database.gd:336 | res://assets/icons/kyrise/armor_01b.png | 皮甲 (Leather Armor)
scripts/inventory/item_database.gd:349 | res://assets/icons/kyrise/armor_01c.png | 鏈甲 (Chainmail)
scripts/inventory/item_database.gd:362 | res://assets/icons/kyrise/boots_01a.png | 皮靴 (Leather Boots)
scripts/inventory/item_database.gd:375 | res://assets/icons/kyrise/boots_01b.png | 鐵靴 (Iron Boots)
scripts/inventory/item_database.gd:388 | res://assets/icons/kyrise/gloves_01a.png | 皮手套 (Leather Gloves)
scripts/inventory/item_database.gd:401 | res://assets/icons/kyrise/ring_02a.png | 戒指 (Ring)
scripts/inventory/item_database.gd:414 | res://assets/icons/kyrise/necklace_01a.png | 項鍊 (Necklace)

## 材料類 (Materials)
使用位置 | 目前使用的圖片路徑 | 用途說明
--- | --- | ---
scripts/inventory/item_database.gd:56 | res://assets/icons/kyrise/wood_01a.png | 木材 (Wood)
scripts/inventory/item_database.gd:64 | res://assets/icons/kyrise/stoneblock_01a.png | 石磚 (Stone Block)
scripts/inventory/item_database.gd:72 | res://assets/icons/kyrise/ingot_01a.png | 鐵錠 (Iron Ingot)
scripts/inventory/item_database.gd:167 | res://assets/icons/kyrise/ingot_01b.png | 鋼錠 (Steel Ingot)
scripts/inventory/item_database.gd:80 | res://assets/icons/kyrise/cotton_01a.png | 棉花 (Cotton)
scripts/inventory/item_database.gd:88 | res://assets/icons/kyrise/flower_01a.png | 花朵 (Flower)
scripts/inventory/item_database.gd:96 | res://assets/icons/kyrise/leaf_01a.png | 葉子 (Leaf)
scripts/inventory/item_database.gd:104 | res://assets/icons/kyrise/shard_01a.png | 水晶碎片 (Crystal Shard)

## 消耗品類 (Consumables)
使用位置 | 目前使用的圖片路徑 | 用途說明
--- | --- | ---
scripts/inventory/item_database.gd:423 | res://assets/icons/kyrise/scroll_01a.png | 傳送卷軸 (Teleport Scroll)

## 敵人/角色類 (Characters/NPCs)
使用位置 | 目前使用的圖片路徑 | 用途說明
--- | --- | ---
scripts/world/npc_manager.gd:33 | res://assets/npc_dwarf.png | 矮人 NPC
scripts/world/npc_manager.gd:34 | res://assets/npc_barbarian.png | 蠻族 NPC
scripts/world/npc_manager.gd:41 | res://assets/npc_knight_blue.png | 藍騎士 NPC
scripts/world/npc_manager.gd:42 | res://assets/npc_knight_green.png | 綠騎士 NPC
scripts/world/npc_manager.gd:49 | res://assets/npc_merchant.png | 商人 NPC (1)
scripts/world/npc_manager.gd:50 | res://assets/npc_merchant_2.png | 商人 NPC (2)
scripts/world/npc_manager.gd:57 | res://assets/npc_paladin.png | 聖騎士 NPC
scripts/world/npc_manager.gd:58 | res://assets/npc_knight_yellow.png | 黃騎士 NPC
scripts/world/npc_manager.gd:65 | res://assets/npc_elf.png | 精靈 NPC
scripts/world/npc_manager.gd:66 | res://assets/npc_trickster.png | 惡作劇者 NPC
scripts/world/npc_manager.gd:407 | res://assets/npc_merchant.png | 預設商人頭像
scripts/world/village_npc.gd:59 | (動態載入 portrait_path) | NPC 對話頭像

## 建築類 (Environment/Buildings)
使用位置 | 目前使用的圖片路徑 | 用途說明
--- | --- | ---
scripts/world/portal.gd:7 | res://assets/floor_stairs.png | 傳送陣/樓梯貼圖

## UI 類 (User Interface)
使用位置 | 目前使用的圖片路徑 | 用途說明
--- | --- | ---
scripts/ui/equipment_panel.gd:214 | (動態獲取預設圖示) | 裝備欄位預設圖示
